Start Date,End Date,Country Name,ISO,Location,Latitude,Longitude,Magnitude Value,Magnitude Scale,Disaster Type,Disaster subtype,Total deaths,Total affected,Total damage ($),Disaster Name,Disaster Year,Disaster No.
11/11/09,12/11/09,India,IND,"Gujarat, Madhya Pradesh, Maharashtra provinces",,,,Kph,Storm,Tropical cyclone,20,,300000,PHYAN,2009,2009-0609
11/5/09,11/5/09,India,IND,Uttar Pradesh province,,,,Kph,Storm,Convective storm,32,23,,,2009,2009-0640
7/6/09,7/6/09,India,IND,Uttar Pradesh province,,,,Kph,Storm,Convective storm,20,,,,2009,2009-0641
13/04/2010,14/04/2010,India,IND,"Bihar, West Bengal, Assam provinces",,,,Kph,Storm,Tropical cyclone,114,500000,,,2010,2010-0171
13/04/2010,14/04/2010,Bangladesh,BGD,"Rangpur, Dinajpur, Nilphamari, Lalmonirhat, Kurigram, Gaibandha districts (Rangpur province), Sirajganj, Bogra districts (Rajshahi province)",,,120,Kph,Storm,Tropical cyclone,8,247110,,,2010,2010-0171
6/5/10,8/5/10,India,IND,"Uttar Pradesh, Bihar provinces",,,,Kph,Storm,Convective storm,54,50,,,2010,2010-0177
20/05/2010,20/05/2010,India,IND,"Krishna, Prakasam, Nellore, Guntur districts (Andhra Pradesh province), Tamil Nadu province",,,110,Kph,Storm,Tropical cyclone,32,,,LAILA,2010,2010-0198
17/04/2010,17/04/2010,Bangladesh,BGD,Lalmonirhat district (Rangpur province),,,,Kph,Storm,Tropical cyclone,3,10000,,,2010,2010-0205
12/7/10,15/07/2010,Philippines (the),PHL,"Manila City, Muntinlupa City, Pateros areas (Metropolitan Manila district, National Capital region (NCR) province), Dingalan area (Aurora district, Region III (Central Luzon) province), Abucay, Bagac, Balanga, Limay, Mariveles, Morong, Orani, Orion, Samal (Bataan district, Region III (Central Luzon) province), Malolos city (Bulacan district, Region III (Central Luzon) province), Masantol area (Pampanga district, Region III (Central Luzon) province), Basud, Capalonga, Daet, Jose Panganiban, Labo, Mercedes, Paracale, San Lorenzo Ruiz, Santa Elena, Talisay, Vinzons areas (Camarines Norte district, Region V (Bicol region) province), Bombon, Caramoan, Lagonoy, Pasacao, Siruma areas (Camarines Sur district, Region V (Bicol region) province), Bagamanoc, Caramoran, Gigmoto, Pandan areas (Catanduanes district, Region V (Bicol region) province), Region IV-A (Calabarzon) province",17.1,121.47,120,Kph,Storm,Tropical cyclone,146,585474,8675,CONSON (BASYANG),2010,2010-0308
17/07/2010,17/07/2010,Viet Nam,VNM,"Thanh Hoa, Quang Ngai, Quang Ninh provinces",,,,Kph,Storm,Tropical cyclone,11,1500,500,CONSON (BASYANG),2010,2010-0308
23/07/2010,25/07/2010,Viet Nam,VNM,"Cao Bang, Ha Giang, Lao Cai provinces",22.11,105.95,,Kph,Storm,Tropical cyclone,10,12400,,CHANTHU,2010,2010-0332
9/8/10,9/8/10,Philippines (the),PHL,"Sitio Sabitan area (Santo Rosario borough, Malolos city, Bulacan district, Region III (Central Luzon) province), Navostas area (Metropolitan Manila district, National Capital region (NCR) province), Region IV (Southern Tagalog) province",,,95,Kph,Storm,Tropical cyclone,31,1045,,ESTER (DIANMU),2010,2010-0383
